Memorial,School,State,Latitude,Longitude,Status,Description,Source
Agnes Scott College Namesake,Agnes Scott College,GA,33.7692226,-84.2945537,2,"Colonel George Washington Scott, a Confederate cavalryman helped organize Decatur Female Seminary which later renamed itself ""Agnes Scott"" in honor of his mother. His brother, John Scott was a Republican Unionist U.S. Senator in Pennsylvania and led a Congressional enquiry into the Ku Klux Klan in 1870.",http://www.ajc.com/news/local/agnes-scott-college-decatur-honors-benefactor-mother/kSacT254KrmDUrKsHp0YdI/
Samford Hall Lathe,Auburn University,AL,32.604985,-85.482673,1,"A lathe, used by the Confederate Army, was erected by Alpha Pi Omega in 1952. Campus tradition states that, ""it's the place where a man brings his special lady to kiss her, and if the wheel moves then she's not ‘the one.""",http://www.theplainsman.com/article/2016/12/auburn-traditions-the-lathe
Augusta Arsenal and Confederate Power Works,Augusta University,GA,33.487523,-81.992625,1,The Confederate Army Arsenal and Powder Works in Augusta now serve as administrative buildings for Augusta University. ,http://www.augusta.edu/pamplin/hist-anth-phil/campushistory.php
Confederate Memoral Plaque,Bowdoin College,ME,43.9070929,-69.9661857,3,"Three years before the Civil War, Bowdoin College gave Jefferson Davis an honorary degree. In 1965, the College erected a plaque in Memorial Hall - a building built to honor Union soldiers - that listed the Bowdoin College alumni who served with Confederate Forces. In August 2017, Bowdoin moved the plaque to an exhibit in the library. ",http://blogs.wgbh.org/on-campus/2017/8/24/after-charlottesville-colleges-reckon-confederate-memorials/
Statues of Stonewall Jackson and Robert E. Lee,Bronx Community College,NY,40.858806,-73.914203,3,Statues of the two Confederate generals were housed in BCC's Hall of Fame for Great Americans. The College removed them in August 2017.,https://www.nytimes.com/interactive/2017/08/16/us/confederate-monuments-removed.html?action=click&contentCollection=U.S.&module=RelatedCoverage&region=EndOfArticle&pgtype=article
Clemson University Namesake,Clemson University,SC,34.678098,-82.83882,2,"Named after Thomas Green Clemson, a Confederate soldier who married John Calhoun's daugher Anna Maria. He was a staunch supporter of the Morrill Act and gave the bequest that established the University in his will. The University is built on John C. Calhoun's plantation, Fort Hill, that was passed to Anna Clemson upon his death. Anna and her mother sold the plantation and its 50 slaves, but that owner died and Thomas Clemson forclosed the mortgage.",https://www.clemson.edu/about/history/bios/index.html
Statue of Robert E. Lee at Duke Chapel,Duke University,NC,36.0018986,-78.9402817,3,"The Chapel has as statues, gargoyles, or grotesques a number of figures who played a part in the Confederacy. In August 2017, Duke removed a statue of Robert E. Lee from the entrance of the Chapel. The statue, which erroneously featured the letters ""US"" on the General's belt buckle had been vandalized with acid a few days prior.",https://today.duke.edu/2017/08/duke-removes-robert-e-lee-statue-chapel-entrance
Washington Duke Statue,Duke University,NC,36.005097,-78.914778,2,"Washington Duke, the university's namesake, remained out of the war until the losing Confederate government enacted conscription laws that forced all men under the age of 45 into service. 43-year-old Duke was conscripted into the Confederate Navy,  captured by Union forces, imprisoned in Richmond, and released at the end of the war in New Bern, North Carolina. Lacking funds for transportation, he walked from New Bern back to his homestead in Alamance County, North Carolina - a 135-mile journey. After the war he started the company that would become the largest tobacco manufacturing firm in the world. His son, ""Buck"" Duke would endow Trinity College in honor of his deceased father, which in turn renamed itself ""Duke University."" A statue bearing Washington Duke's likeness sits at the entrance to the University's east campus. ",http://www.asoldierswalkhome.com/the-dukes-of-durham.php
Francis Eppes Statue,Florida State University,FL,30.440616,-84.291233,2,FSU Students recently voted to keep a statue of Florida State founder and Confederate financier Francis W. Eppes.,http://www.tallahassee.com/story/news/2016/10/19/fsu-students-hold-vote-removing-eppes-statute/92432296/
Gordon State College Namesake,Gordon State College,GA,33.0474595,-84.1522977,2,General John B. Gordon commanded Confederate troops in the Civil War. He later served three terms in the US Senate and two terms as Governor of Georgia.,http://www.gordonstate.edu/about/gordon-state-college-history
